candidate_id,age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
32,30,Masters,Tier 2,8.41,1,3,1,0,4.59,0,0,8.0,1,4.19,539,Mid-size
33,26,Masters,Tier 3,6.45,0,3,2,0,1.56,1,0,11.0,1,3.46,290,Startup
34,33,Masters,Tier 2,8.09,3,1,2,0,1.78,1,1,7.0,0,9.64,635,MNC
35,32,Masters,Tier 3,7.25,3,3,3,2,1.21,0,0,15.0,1,9.76,556,Startup
36,29,PhD,Tier 2,8.12,2,3,2,0,0.33,0,0,10.0,1,8.66,535,MNC
37,21,Masters,Tier 1,7.71,0,3,4,1,0.12,0,0,15.5,1,5.13,449,Startup
38,31,Bachelors,Tier 1,7.42,1,4,4,2,1.57,2,0,21.0,1,3.68,577,Startup
39,31,Bachelors,Tier 2,6.76,1,3,5,0,0.71,0,0,16.0,1,7.79,569,Startup
40,30,Bachelors,Tier 2,6.44,1,1,4,0,1.37,0,0,10.0,1,6.08,338,Startup
41,32,Bachelors,Tier 2,7.69,2,6,4,0,1.49,0,0,20.0,1,3.85,474,Startup
42,32,Bachelors,Tier 3,7.09,1,6,1,1,0.19,1,0,16.5,0,6.47,499,MNC
43,34,Bachelors,Tier 3,7.48,2,4,4,1,0.07,0,0,17.5,1,3.24,413,Mid-size
44,34,Bachelors,Tier 3,7.27,0,2,2,0,0.97,0,0,8.0,0,9.37,599,MNC
45,34,Bachelors,Tier 1,7.99,4,4,4,2,1.73,1,0,20.0,1,4.81,684,Startup
46,23,Masters,Tier 2,7.25,4,4,1,1,1.89,0,0,11.5,0,7.64,595,Mid-size
47,32,Masters,Tier 2,6.25,2,3,1,2,0.19,0,0,11.0,1,5.18,339,MNC
48,27,Bachelors,Tier 1,8.22,0,1,1,3,0.67,0,0,8.5,0,6.64,455,Startup
49,24,Bachelors,Tier 2,8.67,0,5,3,0,2.03,0,2,16.0,1,6.83,386,MNC
50,29,Bachelors,Tier 2,5.58,3,3,1,2,2.23,0,0,11.0,1,4.29,403,Startup
51,23,Bachelors,Tier 1,6.18,4,1,3,0,0.24,2,0,10.0,1,9.79,398,MNC
52,25,Bachelors,Tier 1,7.15,3,2,5,0,0.22,0,0,14.0,0,8.43,582,Startup
53,23,PhD,Tier 2,8.12,2,8,2,0,1.23,0,0,20.0,1,9.58,336,Mid-size
54,27,Bachelors,Tier 2,7.1,2,2,4,1,0.48,0,0,13.5,1,9.26,364,Startup
55,25,Masters,Tier 2,6.55,0,3,5,0,0.23,0,0,16.0,1,7.19,472,MNC
56,29,Masters,Tier 1,6.83,2,4,4,2,0.78,0,0,19.0,1,9.45,676,Mid-size
57,27,Masters,Tier 1,7.44,0,3,2,2,2.65,0,0,13.0,1,3.62,626,Startup
58,22,Bachelors,Tier 1,8.36,4,0,4,0,0.31,0,0,8.0,1,4.37,513,Mid-size
59,24,Bachelors,Tier 2,6.86,2,3,5,1,0.82,0,0,17.5,0,3.32,347,Mid-size
60,29,Bachelors,Tier 2,7.59,0,1,3,1,0.48,1,0,10.5,0,5.28,501,Startup
61,32,Masters,Tier 1,8.05,0,3,3,3,0.26,0,0,16.5,1,5.72,573,Mid-size
62,34,Masters,Tier 1,8.14,2,5,5,2,0.26,0,0,23.0,1,4.9,610,Mid-size
63,22,Masters,Tier 1,7.5,2,4,5,2,0.68,0,0,21.0,0,8.8,616,Startup
64,30,Bachelors,Tier 1,8.07,1,1,2,1,2.48,1,0,8.5,1,5.5,625,Startup
65,29,Masters,Tier 1,8.5,2,6,4,1,0.59,1,0,22.5,1,4.97,557,MNC
66,30,PhD,Tier 2,9.25,2,1,4,0,0.11,2,0,12.0,0,6.8,510,Startup
67,25,Masters,Tier 1,9.33,4,5,5,1,1.31,1,0,22.5,1,3.99,531,MNC
68,22,Bachelors,Tier 3,8.05,5,2,4,1,0.43,1,0,14.5,1,8.62,634,Mid-size
69,24,Bachelors,Tier 2,7.4,3,6,3,1,4.89,1,0,20.5,1,3.52,532,Mid-size
70,32,Bachelors,Tier 1,7.1,2,5,1,0,0.11,0,0,12.0,1,9.91,362,Startup
71,32,Bachelors,Tier 2,7.18,0,4,2,1,0.64,0,0,13.5,1,8.41,547,MNC
72,27,Bachelors,Tier 1,7.3,0,2,4,1,0.29,0,0,13.5,1,4.39,314,Mid-size
73,32,Bachelors,Tier 2,8.0,3,5,1,1,0.19,0,0,13.5,0,3.04,453,MNC
74,33,Bachelors,Tier 1,6.89,1,2,1,0,0.46,0,0,6.0,0,8.71,315,MNC
75,28,Bachelors,Tier 2,7.25,3,2,4,0,0.85,1,1,13.0,1,7.95,586,MNC
76,23,PhD,Tier 1,6.67,0,6,5,0,2.61,0,1,22.0,1,8.1,507,MNC
77,34,Bachelors,Tier 3,8.91,3,4,1,0,0.13,0,0,10.0,1,8.4,561,Mid-size
78,21,Bachelors,Tier 3,6.68,2,4,5,0,2.92,2,0,20.0,1,3.52,523,Startup
79,24,Masters,Tier 2,7.8,1,5,3,1,0.24,0,0,17.5,0,5.51,408,MNC
80,22,Masters,Tier 1,7.91,3,5,3,1,0.06,1,0,18.5,0,3.81,517,MNC
81,28,Bachelors,Tier 2,7.65,0,4,2,1,1.37,1,0,14.5,1,9.04,471,Startup
82,24,PhD,Tier 3,7.66,1,4,5,3,2.74,1,0,23.5,1,7.36,477,Mid-size
83,22,Bachelors,Tier 2,7.05,4,4,3,1,2.83,1,0,16.5,0,5.32,501,MNC
84,34,Masters,Tier 2,8.64,2,2,3,1,0.13,2,0,13.5,1,3.44,437,MNC
85,26,Masters,Tier 3,6.99,0,5,2,1,0.87,0,0,15.5,0,5.18,416,Startup
86,26,Masters,Tier 3,7.31,1,2,5,0,0.54,0,0,14.0,1,5.28,385,Startup
87,30,Bachelors,Tier 3,7.46,1,4,4,0,0.58,1,0,17.0,1,8.11,503,Startup
88,24,Masters,Tier 1,8.46,1,1,4,1,1.33,1,0,12.5,1,7.46,389,MNC
89,26,Bachelors,Tier 2,6.18,1,5,2,0,0.02,0,0,14.0,0,9.21,512,Startup
90,33,Bachelors,Tier 1,6.63,1,3,5,2,0.79,1,0,20.0,1,6.31,534,Startup
91,22,Bachelors,Tier 3,8.16,3,1,2,1,5.4,2,0,9.5,0,3.84,704,Mid-size
92,30,Bachelors,Tier 3,7.85,3,0,4,2,0.88,3,0,14.0,1,7.99,541,MNC
93,32,Masters,Tier 2,7.44,0,5,3,2,1.55,1,0,20.0,1,8.33,266,MNC
94,22,Masters,Tier 3,7.6,1,6,5,0,5.84,0,0,22.0,1,6.93,510,Mid-size
95,30,Bachelors,Tier 3,7.61,3,2,1,0,1.88,0,0,6.0,0,8.4,590,Mid-size
96,34,Bachelors,Tier 2,8.66,0,5,1,1,0.95,1,0,14.5,1,6.46,398,MNC
97,24,Masters,Tier 2,8.28,2,7,3,2,1.08,0,0,23.0,1,6.66,556,MNC
98,34,Bachelors,Tier 1,7.52,3,3,5,2,1.94,0,0,19.0,1,5.99,508,Mid-size
99,28,Bachelors,Tier 1,6.36,3,4,5,1,0.32,0,0,19.5,1,3.18,613,Startup
100,34,Masters,Tier 2,6.96,1,2,4,0,3.04,2,0,14.0,1,3.76,522,Mid-size
101,27,Bachelors,Tier 2,8.21,0,1,1,0,2.97,1,1,5.0,0,3.22,456,Mid-size
102,32,Bachelors,Tier 2,8.51,1,1,2,0,0.41,0,0,6.0,1,7.45,473,MNC
103,29,Bachelors,Tier 1,6.76,0,2,3,2,1.16,2,0,15.0,0,5.2,470,Startup
104,34,Bachelors,Tier 1,7.28,1,3,3,0,1.72,1,1,13.0,1,6.56,447,Mid-size
105,28,Masters,Tier 2,7.7,2,1,5,1,0.07,0,0,13.5,0,9.35,315,Mid-size
106,25,Bachelors,Tier 2,8.33,3,2,1,1,1.21,0,1,7.5,1,4.75,503,Startup
107,33,Bachelors,Tier 3,7.82,1,3,5,2,0.02,1,1,20.0,0,5.87,583,MNC
108,22,Bachelors,Tier 3,7.22,3,5,5,2,1.54,0,0,23.0,1,8.29,552,Startup
109,25,Bachelors,Tier 3,8.05,0,2,2,0,0.22,0,0,8.0,1,4.6,446,MNC
110,28,Bachelors,Tier 2,7.98,2,7,4,0,1.32,0,1,22.0,0,3.54,422,Mid-size
111,30,Bachelors,Tier 3,6.36,4,3,4,1,1.37,1,0,16.5,1,5.03,372,MNC
112,29,Bachelors,Tier 3,7.73,1,3,3,3,1.08,0,0,16.5,0,4.13,332,Mid-size
113,32,Bachelors,Tier 2,7.06,2,0,2,0,0.8,0,0,4.0,1,9.51,528,Mid-size
114,32,PhD,Tier 1,7.48,0,0,3,1,0.1,1,0,8.5,1,8.66,480,Mid-size
115,32,Bachelors,Tier 3,6.79,1,4,2,0,0.77,0,0,12.0,1,7.43,409,MNC
116,33,Masters,Tier 1,8.36,2,8,5,1,1.33,2,0,29.5,1,9.1,509,Mid-size
117,29,PhD,Tier 2,7.82,2,4,1,1,2.82,2,0,13.5,1,8.63,528,Mid-size
118,33,Masters,Tier 2,7.16,0,3,1,0,1.82,0,0,8.0,1,4.31,671,Startup
119,33,PhD,Tier 2,8.2,1,2,5,3,1.32,0,0,18.5,0,9.25,272,Startup
120,21,Masters,Tier 1,8.35,0,2,3,0,0.69,0,0,10.0,1,6.78,339,MNC
121,29,Bachelors,Tier 2,7.6,1,3,1,0,0.23,0,0,8.0,1,8.65,788,Startup
122,27,Bachelors,Tier 2,6.69,1,2,4,0,4.16,1,0,13.0,1,9.27,441,MNC
123,29,Masters,Tier 2,6.73,2,3,5,0,1.44,0,0,16.0,0,5.23,481,Startup
124,28,Bachelors,Tier 1,7.41,1,4,1,3,3.53,0,0,14.5,1,3.77,499,Mid-size
125,21,Bachelors,Tier 3,5.91,0,1,5,1,6.77,0,0,13.5,1,4.6,362,Startup
126,32,Bachelors,Tier 1,8.23,0,3,3,0,0.15,1,0,13.0,1,5.99,371,Mid-size
127,28,Masters,Tier 2,8.81,2,1,2,1,4.44,0,0,7.5,0,8.73,360,MNC
128,28,Masters,Tier 2,7.86,4,2,5,0,5.97,1,0,15.0,1,9.03,254,Startup
129,31,Masters,Tier 2,6.91,1,3,5,0,0.18,2,0,18.0,1,3.05,574,Startup
130,23,Bachelors,Tier 3,7.29,2,1,1,1,1.14,0,0,5.5,1,6.58,650,Mid-size
131,21,Bachelors,Tier 2,7.83,0,1,2,0,1.06,0,0,6.0,0,5.92,368,Mid-size
132,28,PhD,Tier 3,7.8,1,8,4,2,1.37,2,0,29.0,1,4.55,629,Startup
133,23,Masters,Tier 2,6.66,4,2,1,2,0.34,2,0,11.0,0,3.84,510,MNC
134,23,Masters,Tier 3,8.82,1,1,1,1,2.13,0,0,5.5,1,5.36,636,Startup
135,21,Bachelors,Tier 2,8.18,3,4,2,0,2.14,1,1,13.0,0,9.6,502,MNC
136,31,Bachelors,Tier 2,6.95,1,2,4,1,0.32,0,0,13.5,0,5.26,569,Mid-size
137,25,Masters,Tier 3,9.08,0,0,5,0,0.49,0,1,10.0,1,6.63,511,MNC
138,30,Bachelors,Tier 2,8.05,1,2,3,1,1.12,0,0,11.5,1,7.92,375,MNC
139,27,Masters,Tier 3,6.93,1,1,3,1,0.03,1,0,10.5,1,5.55,490,Startup
140,30,Bachelors,Tier 2,7.42,0,2,1,3,0.36,1,0,11.5,1,9.8,511,MNC
141,29,Bachelors,Tier 2,6.95,1,3,2,2,2.3,0,0,13.0,1,9.74,633,MNC
142,32,Bachelors,Tier 2,8.59,1,1,4,1,6.67,3,0,14.5,1,4.76,514,Mid-size
143,27,Masters,Tier 1,7.79,2,4,5,1,1.25,0,0,19.5,0,6.48,334,Startup
144,29,Bachelors,Tier 3,8.17,1,2,1,0,0.24,0,1,6.0,1,5.11,406,MNC
145,28,Bachelors,Tier 2,8.43,2,3,1,1,4.01,1,0,10.5,1,4.99,556,Startup
146,32,Bachelors,Tier 2,7.52,2,2,3,0,1.23,3,0,13.0,1,3.26,402,MNC
147,22,Bachelors,Tier 2,7.73,0,6,4,1,0.4,1,1,22.5,0,7.27,437,Mid-size
148,21,Bachelors,Tier 2,6.41,1,7,5,0,0.33,0,0,24.0,0,6.52,466,Startup
149,27,Bachelors,Tier 1,8.31,0,2,3,3,0.08,0,0,14.5,1,3.36,246,MNC
150,27,Bachelors,Tier 2,8.43,1,2,3,2,0.92,3,0,16.0,0,4.95,489,MNC
151,34,Masters,Tier 1,8.25,2,2,2,2,1.12,0,0,11.0,1,9.36,619,MNC
152,28,Masters,Tier 1,7.91,2,3,4,1,0.15,0,0,15.5,1,4.68,179,MNC
153,25,Bachelors,Tier 2,6.95,1,1,2,1,0.3,1,0,8.5,1,4.01,426,MNC
154,23,Masters,Tier 1,8.48,2,3,1,2,5.59,1,0,12.0,1,6.43,293,Startup
155,32,Bachelors,Tier 1,8.64,0,0,3,1,0.17,1,0,8.5,1,9.9,470,MNC
156,28,Bachelors,Tier 3,7.97,1,2,4,1,1.84,0,0,13.5,1,4.69,473,MNC
157,26,Bachelors,Tier 3,7.45,3,2,2,0,3.13,0,0,8.0,1,7.7,490,MNC
158,31,Masters,Tier 2,7.42,1,6,2,3,3.33,0,0,20.5,1,8.33,523,MNC
159,23,Bachelors,Tier 3,7.85,4,5,4,0,0.12,0,0,18.0,0,4.66,384,Startup
160,21,Masters,Tier 1,7.12,2,2,4,0,5.58,0,0,12.0,1,8.1,281,MNC
161,23,Masters,Tier 1,5.78,3,1,4,0,0.64,1,0,11.0,1,5.57,419,Startup
162,25,Bachelors,Tier 3,6.98,0,3,5,2,1.87,0,0,19.0,1,7.43,353,MNC
163,34,Masters,Tier 3,6.55,2,4,5,0,0.3,2,0,20.0,1,7.43,451,MNC
164,23,Masters,Tier 2,7.49,1,3,4,0,1.13,0,0,14.0,1,6.75,431,Mid-size
165,21,Bachelors,Tier 1,7.48,2,5,3,1,0.67,0,0,17.5,1,3.63,367,Startup
166,25,Bachelors,Tier 1,8.0,2,3,5,1,2.57,0,1,17.5,1,8.85,465,Mid-size
167,30,Masters,Tier 1,7.86,0,4,1,1,0.86,1,0,12.5,0,5.25,581,Mid-size
168,27,Masters,Tier 3,8.48,0,1,2,2,4.09,0,0,9.0,1,4.31,594,Mid-size
169,34,Masters,Tier 3,7.4,3,1,4,1,1.55,1,0,12.5,1,3.29,442,MNC
170,27,Bachelors,Tier 3,7.1,3,3,4,0,1.39,2,0,16.0,1,7.14,552,Mid-size
171,31,Bachelors,Tier 2,8.46,0,3,5,1,2.27,0,0,17.5,1,7.74,232,Startup
172,29,Bachelors,Tier 1,8.1,2,3,3,0,0.87,0,1,12.0,1,3.12,369,Startup
173,30,Bachelors,Tier 1,6.67,0,4,5,2,3.55,0,0,21.0,1,6.58,77,Mid-size
174,30,Masters,Tier 2,7.43,0,3,3,2,3.21,0,0,15.0,1,4.59,301,Mid-size
175,32,Bachelors,Tier 1,7.64,1,3,1,2,1.21,0,1,11.0,1,7.52,499,MNC
176,33,Bachelors,Tier 3,7.71,3,4,2,1,0.42,1,0,14.5,1,4.22,394,MNC
177,23,PhD,Tier 1,7.23,1,3,1,0,0.14,1,0,9.0,1,7.84,275,MNC
178,27,Bachelors,Tier 3,7.37,2,2,3,0,0.59,0,0,10.0,1,5.71,500,MNC
179,21,Masters,Tier 1,8.16,0,3,5,1,1.44,0,0,17.5,0,9.56,386,Mid-size
180,24,Bachelors,Tier 2,7.62,2,1,3,0,6.93,0,1,8.0,0,3.96,601,MNC
181,33,Bachelors,Tier 2,5.45,3,3,2,0,8.0,1,0,11.0,1,5.39,170,Startup
182,24,Bachelors,Tier 1,7.03,3,2,2,0,0.76,1,0,9.0,0,3.79,535,MNC
183,34,Bachelors,Tier 1,7.01,4,2,5,0,0.36,0,0,14.0,0,9.47,759,MNC
184,25,Bachelors,Tier 1,5.84,3,1,2,4,0.16,1,0,13.0,1,9.14,747,MNC
185,27,Bachelors,Tier 1,8.97,3,2,5,0,0.71,1,1,15.0,0,4.81,539,Mid-size
186,27,Masters,Tier 1,7.37,3,9,1,1,1.15,0,0,21.5,0,7.62,592,Mid-size
187,33,Bachelors,Tier 2,6.31,2,5,2,2,0.25,0,1,17.0,0,8.72,423,Startup
188,31,Bachelors,Tier 3,7.94,1,3,5,1,1.29,0,1,17.5,0,6.89,394,Mid-size
189,33,Bachelors,Tier 1,6.77,0,1,5,0,1.7,1,1,13.0,1,6.71,433,Startup
190,24,Bachelors,Tier 3,8.76,0,3,1,1,2.49,0,0,9.5,1,4.69,352,Startup
191,33,Masters,Tier 1,8.65,0,2,5,0,4.59,0,0,14.0,1,3.65,184,MNC
192,27,Masters,Tier 2,8.2,2,5,1,0,0.44,1,0,13.0,1,9.28,419,Startup
193,31,Bachelors,Tier 2,6.82,0,2,5,1,0.45,0,0,15.5,0,9.3,395,MNC
194,23,PhD,Tier 3,7.9,0,4,5,1,1.53,1,0,20.5,1,7.43,315,MNC
195,26,Bachelors,Tier 1,8.93,3,6,1,0,3.38,0,0,14.0,0,5.37,362,MNC
196,32,Bachelors,Tier 3,7.23,1,4,5,1,1.4,0,0,19.5,0,5.44,494,MNC
197,22,Masters,Tier 1,7.78,2,5,4,1,0.48,0,0,19.5,0,8.08,678,Startup
198,30,Bachelors,Tier 1,7.77,5,2,4,0,2.55,0,0,12.0,0,9.28,478,Mid-size
199,33,Bachelors,Tier 1,8.21,0,1,1,0,0.43,1,0,5.0,1,9.21,446,MNC
200,34,Masters,Tier 2,7.4,1,4,3,1,0.38,1,0,16.5,0,8.46,446,Mid-size
201,29,Masters,Tier 1,7.63,1,0,4,1,3.34,0,0,9.5,1,7.49,480,MNC
202,25,Masters,Tier 1,6.82,1,6,1,0,2.44,1,1,15.0,1,3.59,412,MNC
203,26,Bachelors,Tier 2,8.49,0,2,1,1,0.43,0,1,7.5,1,4.13,451,Startup
204,32,Masters,Tier 2,8.19,1,4,2,1,1.02,0,1,13.5,1,9.29,339,Mid-size
205,32,Masters,Tier 3,7.73,0,0,1,0,0.1,0,1,2.0,0,7.25,470,MNC
206,32,Bachelors,Tier 2,7.84,5,1,5,0,0.82,1,0,13.0,1,3.06,565,Startup
207,32,Bachelors,Tier 1,6.84,1,3,2,1,0.77,0,0,11.5,1,3.71,364,MNC
208,24,Bachelors,Tier 2,8.32,4,8,4,1,2.65,0,0,25.5,1,7.64,196,Mid-size
209,34,Bachelors,Tier 3,8.58,4,2,2,1,0.88,2,0,11.5,1,3.04,450,MNC
210,34,Bachelors,Tier 1,8.06,1,3,4,1,4.27,0,0,15.5,1,4.13,394,Mid-size
211,31,Bachelors,Tier 1,7.52,2,5,2,3,1.36,0,0,18.5,1,6.84,447,MNC
212,30,Masters,Tier 2,7.99,0,3,4,1,0.7,3,0,18.5,0,7.84,357,Mid-size
213,27,Bachelors,Tier 2,7.88,2,5,3,0,0.36,0,0,16.0,0,7.56,472,MNC
214,32,Bachelors,Tier 2,7.18,1,3,3,0,3.64,0,0,12.0,1,4.57,345,MNC
215,29,Masters,Tier 1,8.55,0,6,3,0,3.15,0,0,18.0,1,7.99,685,Mid-size
216,27,Bachelors,Tier 3,7.63,1,0,1,0,5.08,0,0,2.0,1,4.66,391,Mid-size
217,34,Masters,Tier 2,7.59,0,3,1,4,2.66,1,0,15.0,0,5.28,104,Startup
218,21,Masters,Tier 2,7.75,1,2,4,1,0.78,0,0,13.5,1,8.23,484,Mid-size
219,21,Bachelors,Tier 1,6.76,2,2,2,1,2.91,0,0,9.5,1,7.55,382,MNC
220,29,Bachelors,Tier 3,7.08,2,2,4,0,0.38,0,0,12.0,0,8.94,427,MNC
221,31,Bachelors,Tier 3,7.73,3,4,5,2,6.18,0,0,21.0,1,7.6,339,Mid-size
222,34,Bachelors,Tier 3,7.21,0,1,3,1,1.56,0,1,9.5,1,6.98,514,Startup
223,29,Bachelors,Tier 3,8.08,2,0,5,0,1.65,0,0,10.0,1,3.66,384,MNC
224,24,Bachelors,Tier 2,7.89,0,6,4,1,1.12,0,0,21.5,0,5.57,568,Startup
225,33,PhD,Tier 2,7.61,1,4,5,1,0.84,0,0,19.5,0,4.86,632,MNC
226,29,Masters,Tier 3,8.16,1,1,4,1,0.24,0,0,11.5,0,4.71,416,Mid-size
227,23,Bachelors,Tier 3,6.86,4,3,3,1,0.53,0,0,13.5,1,9.81,212,Mid-size
228,27,Bachelors,Tier 1,7.66,1,1,5,0,0.88,0,0,12.0,1,5.75,501,Startup
229,26,Bachelors,Tier 1,7.7,0,2,4,0,0.94,0,1,12.0,1,9.24,231,Startup
230,28,Bachelors,Tier 2,8.39,0,4,2,0,3.18,1,0,13.0,1,7.42,392,MNC
231,31,Bachelors,Tier 1,6.35,3,3,4,1,0.46,1,1,16.5,1,8.56,559,Startup
232,29,Masters,Tier 3,7.08,1,4,4,1,0.13,0,1,17.5,1,6.52,461,Mid-size
233,34,Bachelors,Tier 2,9.16,0,3,4,1,0.78,0,0,15.5,1,7.04,288,MNC
234,25,Masters,Tier 3,6.08,1,3,4,1,3.6,0,0,15.5,1,6.45,364,Startup
235,21,Bachelors,Tier 2,8.07,2,2,5,0,0.08,0,0,14.0,0,4.37,383,Mid-size
236,23,Masters,Tier 2,8.29,1,2,3,0,1.46,0,0,10.0,0,8.06,355,MNC
237,30,Bachelors,Tier 1,7.37,3,3,3,0,0.48,1,0,13.0,0,4.97,503,Startup
238,32,Bachelors,Tier 3,6.27,2,3,3,0,0.29,2,0,14.0,0,3.17,459,Mid-size
239,28,Bachelors,Tier 2,7.4,1,1,1,1,1.09,0,0,5.5,0,7.52,289,Startup
240,31,Masters,Tier 3,8.18,1,4,4,1,0.28,0,1,17.5,1,4.24,192,Startup
241,26,Bachelors,Tier 1,8.29,4,2,1,1,0.45,1,0,8.5,0,9.58,511,Mid-size
242,28,PhD,Tier 2,6.45,2,1,3,0,0.57,0,1,8.0,1,9.68,436,Mid-size
243,29,Bachelors,Tier 3,8.55,1,1,1,1,0.33,0,1,5.5,1,9.4,402,MNC
244,24,Bachelors,Tier 3,6.9,1,5,4,1,3.97,0,0,19.5,1,5.59,359,MNC
245,21,Masters,Tier 2,7.71,1,4,3,0,2.94,2,0,16.0,1,3.11,442,MNC
246,34,Masters,Tier 2,6.91,3,6,4,1,5.9,0,0,21.5,1,9.5,427,MNC
247,21,Bachelors,Tier 1,6.37,1,3,2,1,0.71,0,0,11.5,1,6.0,337,MNC
248,30,Bachelors,Tier 2,8.4,1,2,5,3,0.04,0,1,18.5,0,9.77,352,Startup
249,24,Bachelors,Tier 1,7.48,1,2,5,1,0.08,0,0,15.5,0,9.75,368,MNC
250,32,Masters,Tier 2,9.43,5,3,4,0,0.21,0,1,14.0,1,8.97,314,MNC
251,34,Bachelors,Tier 1,6.39,1,3,3,1,4.46,0,0,13.5,1,5.06,461,MNC
252,27,Bachelors,Tier 2,5.7,1,2,5,2,1.27,0,0,17.0,1,5.7,474,Mid-size
253,22,Masters,Tier 3,7.98,0,3,1,0,0.6,1,0,9.0,1,8.96,488,MNC
254,23,Masters,Tier 3,5.0,3,1,2,0,0.91,0,0,6.0,0,5.22,292,Mid-size
255,21,Bachelors,Tier 2,7.82,3,1,5,1,1.0,1,0,14.5,0,4.19,220,Mid-size
256,25,Bachelors,Tier 1,7.76,1,2,2,1,3.61,1,0,10.5,1,6.9,486,MNC
257,21,Masters,Tier 1,8.03,0,3,5,1,2.43,0,0,17.5,0,9.55,566,Startup
258,28,Masters,Tier 2,7.66,2,3,1,0,1.41,1,0,9.0,0,7.87,176,MNC
259,21,Bachelors,Tier 2,9.35,2,4,1,1,0.5,1,0,12.5,1,6.99,550,Mid-size
260,31,Masters,Tier 1,7.48,1,3,4,0,2.68,0,0,14.0,1,3.68,445,MNC
261,21,Bachelors,Tier 2,7.54,1,0,3,1,0.96,1,0,8.5,0,7.31,686,MNC
262,22,Bachelors,Tier 2,6.2,1,2,4,0,1.97,0,0,12.0,1,9.93,493,Startup
263,22,Masters,Tier 3,8.71,0,0,5,3,3.15,0,0,14.5,1,3.98,197,Mid-size
264,32,Masters,Tier 2,7.69,1,2,4,2,3.54,0,0,15.0,1,6.63,600,Mid-size
265,26,Bachelors,Tier 2,6.36,0,3,5,2,0.69,0,0,19.0,1,9.14,369,MNC
266,27,Masters,Tier 3,6.8,3,7,3,0,0.06,0,0,20.0,1,8.19,486,MNC
267,25,Bachelors,Tier 3,6.56,2,3,2,0,3.56,1,0,11.0,0,7.88,459,Startup
